hsa-mir-15a,Leukemia
hsa-mir-15a,Leukemia Lymphocytic Chronic B-Cell
hsa-mir-16-1,Leukemia
hsa-mir-16-1,Leukemia Lymphocytic Chronic B-Cell
hsa-mir-125b-1,Breast Neoplasms
hsa-mir-125b-1,Lung Neoplasms
hsa-mir-125b-1,Ovarian Neoplasms
hsa-mir-125b-1,Urinary Bladder Neoplasms
hsa-mir-17,Carcinoma Hepatocellular
hsa-mir-18a,Carcinoma Hepatocellular
hsa-mir-19a,Carcinoma Hepatocellular
hsa-mir-19b-1,Carcinoma Hepatocellular
hsa-mir-20a,Carcinoma Hepatocellular
hsa-mir-125b-1,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
hsa-mir-15a,Lymphoma
hsa-mir-16-1,Lymphoma
hsa-mir-125b-1,Leukemia B-Cell
hsa-mir-142,Leukemia B-Cell
hsa-mir-15a,Leukemia B-Cell
hsa-mir-15a,Pituitary Neoplasms
hsa-mir-16-1,Leukemia B-Cell
hsa-mir-16-1,Pituitary Neoplasms
hsa-mir-17,Breast Neoplasms
hsa-mir-92a-1,Hematologic Neoplasms
hsa-mir-15a,Breast Neoplasms
hsa-mir-16-1,Ovarian Neoplasms
hsa-mir-199a-1,Carcinoma Hepatocellular
hsa-mir-15b,Leukemia Lymphocytic Chronic B-Cell
hsa-mir-16-2,Leukemia Lymphocytic Chronic B-Cell
hsa-mir-181b-2,Urinary Bladder Neoplasms
hsa-mir-199b,Urinary Bladder Neoplasms
hsa-mir-15a,Lymphoma Mantle-Cell
hsa-mir-15a,Multiple Myeloma
hsa-mir-15a,Prostatic Neoplasms
hsa-mir-16-1,Lymphoma Mantle-Cell
hsa-mir-16-1,Multiple Myeloma
hsa-mir-16-1,Prostatic Neoplasms
hsa-mir-29a,Alzheimer Disease
hsa-mir-29b-1,Alzheimer Disease
hsa-mir-1-1,Carcinoma Hepatocellular
hsa-mir-1-2,Carcinoma Hepatocellular
hsa-mir-34a,Neoplasms
hsa-mir-101-1,Neoplasms
hsa-mir-101-2,Neoplasms
hsa-mir-31,Neoplasms
hsa-mir-31,Ovarian Neoplasms
hsa-mir-143,Neoplasms
hsa-mir-145,Neoplasms
hsa-mir-301a,Lung Neoplasms
hsa-mir-29a,Leukemia Myeloid Acute
hsa-mir-29b-1,Leukemia Myeloid Acute
hsa-mir-107,Urinary Bladder Neoplasms
hsa-mir-486,Stomach Neoplasms
hsa-mir-218-1,Urinary Bladder Neoplasms
hsa-mir-218-2,Urinary Bladder Neoplasms
hsa-mir-1-1,Myotonic Dystrophy
hsa-mir-1-2,Myotonic Dystrophy
hsa-mir-135a-1,Medulloblastoma
hsa-mir-135a-2,Medulloblastoma
hsa-mir-135b,Medulloblastoma
hsa-mir-186,Medulloblastoma
hsa-mir-33b,Medulloblastoma
hsa-mir-132,Supranuclear Palsy Progressive
hsa-mir-101-1,Lung Neoplasms
hsa-mir-101-2,Lung Neoplasms
hsa-mir-145,Myelodysplastic Syndromes
hsa-mir-17,Musculoskeletal Abnormalities
hsa-mir-18a,Musculoskeletal Abnormalities
hsa-mir-19a,Musculoskeletal Abnormalities
hsa-mir-19b-1,Musculoskeletal Abnormalities
hsa-mir-20a,Musculoskeletal Abnormalities
hsa-mir-92a-1,Musculoskeletal Abnormalities
hsa-mir-21,Hypertension
hsa-mir-101-1,Pancreatic Neoplasms
hsa-mir-101-2,Pancreatic Neoplasms
hsa-mir-101-1,Carcinoma Non-Small-Cell Lung
hsa-mir-101-2,Carcinoma Non-Small-Cell Lung
hsa-mir-144,Thyroid Neoplasms
hsa-mir-199b,Thyroid Neoplasms
hsa-mir-29a,Kidney Diseases
hsa-mir-29b-1,Kidney Diseases
hsa-mir-29b-2,Kidney Diseases
hsa-mir-29c,Kidney Diseases
hsa-mir-122,Hepatitis B
hsa-mir-34a,Arthritis Rheumatoid
hsa-mir-124-1,Glioma
hsa-mir-124-2,Glioma
hsa-mir-124-3,Glioma
hsa-mir-145,Ovarian Neoplasms
hsa-mir-133a-1,Breast Neoplasms
hsa-mir-133a-2,Breast Neoplasms
hsa-mir-29a,Muscular Dystrophy Duchenne
hsa-mir-29b-1,Muscular Dystrophy Duchenne
hsa-mir-29b-2,Muscular Dystrophy Duchenne
hsa-mir-29c,Muscular Dystrophy Duchenne
hsa-mir-101-1,Stomach Neoplasms
hsa-let-7c,Prostatic Neoplasms
hsa-mir-205,Melanoma
hsa-let-7g,Melanoma
hsa-mir-126,Pancreatic Neoplasms
hsa-mir-148a,Endometrial Neoplasms
hsa-mir-218-1,Breast Neoplasms
hsa-mir-218-2,Breast Neoplasms
hsa-mir-101-1,Colonic Neoplasms
hsa-mir-200a,Melanoma
hsa-mir-200c,Melanoma
hsa-mir-203,Melanoma
hsa-mir-370,Cholangiocarcinoma
hsa-mir-126,Heart Diseases
hsa-mir-130a,Heart Diseases
hsa-mir-204,Glioma
hsa-mir-132,Osteosarcoma
hsa-let-7,Prostatic Neoplasms
hsa-mir-21,Reperfusion Injury
hsa-mir-10a,Neoplasms
hsa-mir-200a,Breast Neoplasms
hsa-mir-126,Prostatic Neoplasms
hsa-mir-223,Sepsis
hsa-mir-206,Amyotrophic Lateral Sclerosis
hsa-mir-145,Carcinoma Hepatocellular
hsa-mir-21,Hypertension Pulmonary
hsa-mir-424,Hepatoblastoma
hsa-mir-100,Prostatic Neoplasms
hsa-mir-17,Atrial Fibrillation
hsa-mir-18,Atrial Fibrillation
hsa-mir-19a,Atrial Fibrillation
hsa-mir-19b-1,Atrial Fibrillation
hsa-mir-20a,Atrial Fibrillation
hsa-mir-92-1,Atrial Fibrillation
hsa-mir-203,Prostatic Neoplasms
hsa-mir-155,Melanoma
hsa-mir-378,Prostatic Neoplasms
hsa-mir-100,Carcinoma Hepatocellular
hsa-mir-101,Esophageal Neoplasms
hsa-mir-101,Lung Neoplasms
hsa-mir-34a,Prostatic Neoplasms
hsa-mir-34a,Diabetes Mellitus
hsa-mir-7,Breast Neoplasms
hsa-mir-204,Prostatic Neoplasms
hsa-mir-26a,Neoplasms
hsa-mir-26b,Neoplasms
hsa-mir-1,Prostatic Neoplasms
hsa-mir-23a,Familial Primary Pulmonary Hypertension
hsa-mir-150,Heart Diseases
hsa-mir-150,Myocardial Infarction
hsa-mir-155,Lymphoma B-Cell
hsa-mir-21,Acute Kidney Injury
hsa-mir-155,Tuberculosis
hsa-mir-377,Lymphoma
hsa-mir-142,Immunologic Deficiency Syndromes
hsa-mir-132,Inflammation
hsa-mir-205,Prostatic Neoplasms
hsa-mir-133a,Heart Diseases
hsa-mir-133a,Hypertrophy
hsa-mir-21,Carcinoma Hepatocellular
hsa-mir-622,Colorectal Neoplasms
hsa-mir-214,Parkinson Disease
hsa-mir-195,Uterine Cervical Neoplasms
hsa-mir-377,Reperfusion Injury
hsa-mir-150,Sepsis
hsa-mir-29b,Carcinoma Renal Cell
hsa-mir-150,Obesity
hsa-mir-29c,Carcinoma Embryonal
hsa-mir-124,Glioblastoma
hsa-mir-181,Autism Spectrum Disorder
hsa-mir-146a,Reperfusion Injury
